,E_Equipment Serial Number,E_OEM Nameplate SN
7289,820977,G08231
7290,805356,805356
7291,934644,540420
7292,821148,G08255
7293,822506,G09096
7294,812970,7211790
7295,806113,806113
7296,809562,05927
7297,801825,801825
7298,820073,671120
7299,806706,806706
7300,809315,809315
7301,900418,05550
7302,244689,244689
7303,147759,05005
7304,809312,809312
7305,934650,540390
7306,225914,225914
7307,822447,G08964
7308,298369,G06939
7309,820161,642141
7310,G06882,G06882
7311,820931,820931
7312,G06871,G06871
7313,245004,245004
7314,244934,244934
7315,245317,245317
7316,226155,226155
7317,G06470,G06470
7318,G06641,G06641
7319,820434,G07978
7320,850256,G09115
7321,G06279,G06279
7322,822098,G08779
7323,804232,804232
7324,226295,226295
7325,805596,805596
7326,805936,805936UK
7327,812432,812432
7328,821602,G08537
7329,244956,244956
7330,900441,05547
7331,179266,179266
7332,822427,679214
7333,820555,G08051
7334,821976,821976
7335,244753,05147
7336,295535,295535
7337,G08011,G08011
7338,G07084,G07084
7339,812944,636105
7340,809807,05538
7341,812450,812450
7342,822089,822089
7343,G06407,G06407
7344,807389,807389
7345,820188,G07787
7346,282039,282039
7347,244825,244825
7348,244911,244911
7349,808424,G06288
7350,G06823,G06823
7351,245306,245306
7352,821297,G08267
7353,805912,805912
7354,808701,G06102
7355,808211,808211
7356,808933,808933
7357,934672,282260
7358,822985,676186
7359,10536,05294
7360,805171,805171
7361,244595,05168
7362,821808,821808
7363,821490,7240115
7364,G06105,G06105
7365,822272,691289
7366,804336,804336
7367,821017,552108
7368,812481,812481
7369,808714,808714
7370,850220,G08796
7371,821399,641278
7372,244554,05142
7373,805086,805086
7374,802533,802533
7375,821004,642223
7376,802414,802414
7377,806993,806993
7378,801574,801574
7379,809073,98301
7380,282376,282376
7381,800145,800145
7382,800362,800362
7383,822528,G09003
7384,809093,05855
7385,800410,800410
7386,244485,244485
7387,G07532,G07532
7388,244480,244480
7389,G06753,G06753
7390,806110,806110
7391,812606,691015
7392,244649,244649
7393,850025,G06929
7394,822610,G09016
7395,822132,G08765
7396,822329,G08921
7397,226277,226277
7398,147819,147819
7399,298629,G07740
7400,890320,890320
7401,10196,05264
7402,812995,641133
7403,804492,804492
7404,935491,935491
7405,226377,GT137
7406,147894,147894
7407,244626,05187
7408,G06972,G06972
7409,809112,05844-OLD
7410,G09137,G09137
7411,G06278,G06278
7412,244453,05131
7413,G07536,G07536
7414,801536,801536
7415,282442,282442
7416,820688,G08039
7417,809410,G06236
7418,805175,805175
7419,G06258,G06258
7420,812524,219026
7421,820169,641140
7422,244519,05062
7423,G08345,G08345
7424,812422,812422
7425,800997,800997
7426,244624,05185
7427,802512,802512
7428,820264,7219487
7429,809917,05745
7430,809285,809285
7431,812974,812974
7432,822550,G09088
7433,244970,244970
7434,147874,147874
7435,296111,296111
7436,850114,G08152
7437,809632,G06496
7438,214324,GT49
7439,245195,GT247
7440,G07088,G07088
7441,245102,245102
7442,179284,179284
7443,800590,800590
7444,214467,214467
7445,821599,557108
7446,127705,127705
7447,820152,G07786
7448,808370,808370
7449,809765,05656
7450,820268,691240
7451,808944,G06321
7452,802308,802308
7453,147727,147727
7454,820809,G08193
7455,808816,G06127
7456,821969,557062
7457,G08186,G08186
7458,G06688,G06688
7459,820509,820509
7460,821351,G08464
7461,850034,G06926
7462,820917,G08115
7463,G07759,G07759
7464,812897,G07564
7465,805448,805448
7466,214488,214488
7467,806914,806914
7468,812626,641115
7469,820487,677108
7470,244560,244560
7471,801564,801564
7472,G07648,G07648
7473,244755,05149
7474,809493,G06042
7475,809892,G06098
7476,179577,179577
7477,810215,G06436
7478,245328,245328
7479,244597,05170
7480,812581,G06948
7481,900397,05546
7482,244351,244351
7483,244631,GT175
7484,900437,05601
7485,244668,05048
7486,214270,570380
7487,226152,226152
7488,G06579,G06579
7489,812423,812423
7490,808314,808314
7491,809286,809286
7492,809359,809359
7493,821190,G08252
7494,934688,561220
7495,809457,G06033
7496,808976,808976
7497,934655,540430
7498,179407,179407
7499,804822,804822
7500,244634,244634
7501,806630,806630
7502,822234,671262
7503,821043,474171
7504,822373,7258225
7505,179291,179291
7506,808902,481465
7507,226239,T094
7508,G08183,G08183
7509,930074,05078
7510,812400,671163
7511,297027,G06140
7512,930175,05597
7513,821760,G08495
7514,808840,G05991
7515,G06468,G06468
7516,821284,481920
7517,850185,G08392
7518,806687,806687
7519,214037,214037
7520,244982,244982
7521,281881,GT301
7522,809492,G06041
7523,934649,540220
7524,T865,05157
7525,806185,806185
7526,298564,298564
7527,G07692,G07692
7528,281678,481351
7529,821455,671064
7530,930216,05767
7531,805307,805307
7532,930118,05104
7533,809498,05375
7534,805194,805194
7535,G08840,G08840
7536,821687,G08500
7537,806307,806307
7538,821621,481931
7539,10074,T177
7540,809281,809281
7541,822543,642258
7542,820114,G07822
7543,808987,105201
7544,900473,900473
7545,G08102,G08102
7546,179573,179573
7547,809262,642128
7548,808957,751505
7549,809413,05674
7550,G07951,G07951
7551,179444,179444
7552,G06500,G06500
7553,179596,05094
7554,G06643,G06643
7555,807009,807009
7556,820119,G07828
7557,809369,809369
7558,147854,05012
7559,806707,806707
7560,G06999,G06999
7561,147787,05008
7562,930237,05955
7563,809712,G06397
7564,G06595,G06595
7565,810231,G06391
7566,809855,05492
7567,934629,560690
7568,810236,G06283
7569,BH0491914,481359
7570,214028,214028
7571,808781,808781
7572,179445,179445
7573,297026,G06139
7574,822031,G08947
7575,245043,245043
7576,812392,G06505
7577,812559,481352
7578,820947,G08176
7579,299395,G08911
7580,245141,520010
7581,809204,809204
7582,G07743,G07743
7583,820055,671153
7584,808967,808967
7585,820691,G08177
7586,812881,G07556
7587,5493,05493
7588,281737,281737
7589,G06594,G06594
7590,809826,05210
7591,806685,806685
7592,807329,807329
7593,179180,179180
7594,298563,298563
7595,282610,282610
7596,226305,226305
7597,T864,05144
7598,808703,808703
7599,G08217,G08217
7600,282487,282487
7601,282490,282490
7602,G07996,G07996
7603,821984,G08735
7604,801803,801803
7605,821223,G08257
7606,934626,560720
7607,244973,244973
7608,821417,821417
7609,806318,806318
7610,821178,677107
7611,820567,G07997
7612,808858,G06148
7613,G07976,G07976
7614,214189,214189
7615,821150,G08258
7616,G08090,G08090
7617,244985,244985
7618,G08454,G08454
7619,G08332,G08332
7620,808842,G05989
7621,812707,215681
7622,900549,G06518
7623,935592,525
7624,808928,808928
7625,G06878,G06878
7626,930149,05313
7627,G06791,G06791
7628,930713,1041M
7629,808975,05973
7630,809813,05173
7631,G07053,G07053
7632,804814,804814
7633,801187,801187
7634,820417,G07938
7635,226025,226025
7636,244705,244705
7637,226327,05052
7638,850266,G09121
7639,295534,295534
7640,812062,G06781
7641,934647,540240
7642,127697,127697
7643,821415,821415
7644,809828,05224
7645,801804,801804
7646,809526,05418
7647,244987,244987
7648,820985,G08279
7649,244538,244538
7650,930214,05765
7651,803118,803118
7652,G06063,G06063
7653,930241,05959
