E_Equipment Serial Number;E_OEM Nameplate SN
GG676195;676195
GG676132;676132
GG676125;676125
GG676133;676133
GG677170;677170
GG677173;677173
GG677172;677172
GG677171;677171
GG642247;642247
GG642244;642244
GG642246;642246
GG677205;677205
GG677179;677179
GG677175;677175
GG677177;677177
GG641179;641179
GG641053;641053
GG671207;671207
GG671206;671206
GG481969;481969
GG481970;481970
GG481959;481959
GG481964;481964
GG641327;641327
GG641317;641317
GG641328;641328
GG481960;481960
GG641330;641330
GG481948;481948
GG481961;481961
GG641315;641315
GG641324;641324
GG641326;641326
GG641311;641311
GG641314;641314
GG641329;641329
GG641325;641325
GG641323;641323
GG641295;641295
GG481947;481947
GG641310;641310
GG641308;641308
GG641309;641309
GG552101;552101
GG751030;751030
GG691228;691228
GG691270;691270
GG691226;691226
GG671245;671245
GG641189;641189
GG641197;641197
GG642196;642196
GG642168;642168
GG642178;642178
GG641286;641286
GG691278;691278
GG691277;691277
GG679197;679197
GG679186;679186
GG679196;679196
GG679195;679195
GG642145;642145
GG481929;481929
GG481932;481932
GG481933;481933
GG481927;481927
GG641177;641177
GG641173;641173
GG641251;641251
GG676158;676158
GG676156;676156
GG676153;676153
GG676155;676155
GG676154;676154
GG676160;676160
GG671180;671180
GG671179;671179
GG671178;671178
GG481649;481649
GG691180;691180
GG641102;641102
GG691179;691179
GG641103;641103
GG679129;679129
GG679135;679135
GG679130;679130
GG679126;679126
GG642191;642191
GG642192;642192
GG642190;642190
GG671218;671218
GG671189;671189
GG642167;642167
GG642181;642181
GG642180;642180
GG679217;679217
GG679220;679220
GG679219;679219
GG641229;641229
GG641230;641230
GG641294;641294
GG641227;641227
GG641238;641238
GG641270;641270
GG641221;641221
GG641239;641239
GG641269;641269
GG641233;641233
GG641226;641226
GG641207;641207
GG641228;641228
GG641219;641219
GG641281;641281
GG641243;641243
GG641271;641271
GG641209;641209
GG641298;641298
GG641224;641224
GG641225;641225
GG641296;641296
GG641272;641272
GG641240;641240
GG641268;641268
GG641232;641232
GG641244;641244
GG641283;641283
GG641282;641282
GG641245;641245
GG641273;641273
GG641231;641231
GG641210;641210
GG481474;481474
GG481496;481496
GG481911;481911
GG481912;481912
GG481628;481628
GG751052;751052
GG691296;691296
GG679343;679343
GG679342;679342
GG191142;191142
GG642268;642268
GG642267;642267
GG671278;671278
GG671279;671279
GG642269;642269
GG751005;751005
GG642229;642229
GG642228;642228
GG642238;642238
GG642226;642226
GG642237;642237
GG481962;481962
GG481974;481974
GG481768;481768
GG671277;671277
GG481585;481585
GG481592;481592
GG481605;481605
GG481604;481604
GG481602;481602
GG481589;481589
GG481596;481596
GG481598;481598
GG481581;481581
GG481567;481567
GG481568;481568
GG481606;481606
GG481603;481603
GG481582;481582
GG481588;481588
GG481590;481590
GG481595;481595
GG481591;481591
GG481610;481610
GG481597;481597
GG481599;481599
GG691263;691263
GG691243;691243
GG691245;691245
GG691253;691253
GG481492;481492
GG642179;642179
GG642185;642185
GG642165;642165
GG751015;751015
GG751035;751035
GG481378;481378
GG677148;677148
GG677146;677146
GG642257;642257
GG642256;642256
GG642259;642259
GG642255;642255
GG641136;641136
GG641275;641275
GG641059;641059
GG641135;641135
GG641131;641131
GG691064;691064
GG691010;691010
GG641280;641280
GG641279;641279
GG641277;641277
GG641288;641288
GG641285;641285
GG679163;679163
GG679160;679160
GG679175;679175
GG679198;679198
GG557127;557127
GG557132;557132
GG691274;691274
GG679180;679180
GG679181;679181
GG679179;679179
GG679182;679182
GG691276;691276
GG751077;751077
GG676163;676163
GG481752;481752
GG481368;481368
GG481674;481674
GG481673;481673
GG691217;691217
GG679205;679205
GG679178;679178
GG679206;679206
GG679203;679203
GG642172;642172
GG642171;642171
GG642170;642170
GG691214;691214
GG691216;691216
GG751048;751048
GG642195;642195
GG642194;642194
GG642193;642193
GG679213;679213
GG679212;679212
GG679218;679218
GG641212;641212
GG641213;641213
GG641222;641222
GG641216;641216
GG481452;481452
GG481493;481493
